"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.075071641E0,-1.000489965E-1,1.780489981E-1,2.742089927E-1,3.419090802E-1
1.080071756E0,-1.000489965E-1,1.780489981E-1,2.742089927E-1,3.419090802E-1
1.085071911E0,-1.000489965E-1,1.780489981E-1,2.742089927E-1,3.419090802E-1
1.090070409E0,-1.061009988E-1,1.839880049E-1,2.477259934E-1,3.263084058E-1
1.095068910E0,-1.061009988E-1,1.839880049E-1,2.477259934E-1,3.263084058E-1
1.100067666E0,-1.061009988E-1,1.839880049E-1,2.477259934E-1,3.263084058E-1
1.105066435E0,-1.061009988E-1,1.839880049E-1,2.477259934E-1,3.263084058E-1
1.110065011E0,-1.143169999E-1,1.842650026E-1,2.233980000E-1,3.113336379E-1
1.115063588E0,-1.143169999E-1,1.842650026E-1,2.233980000E-1,3.113336379E-1
1.120062045E0,-1.143169999E-1,1.842650026E-1,2.233980000E-1,3.113336379E-1
1.125060508E0,-1.143169999E-1,1.842650026E-1,2.233980000E-1,3.113336379E-1
1.130059123E0,-1.165070012E-1,1.823100001E-1,2.107540071E-1,3.020398467E-1
1.135057738E0,-1.165070012E-1,1.823100001E-1,2.107540071E-1,3.020398467E-1
1.140056982E0,-1.165070012E-1,1.823100001E-1,2.107540071E-1,3.020398467E-1
1.145056213E0,-1.165070012E-1,1.823100001E-1,2.107540071E-1,3.020398467E-1
1.150055290E0,-1.079550013E-1,1.767490059E-1,2.113869935E-1,2.959374164E-1
1.155054367E0,-1.079550013E-1,1.767490059E-1,2.113869935E-1,2.959374164E-1
1.160053016E0,-1.079550013E-1,1.767490059E-1,2.113869935E-1,2.959374164E-1
1.165051671E0,-1.079550013E-1,1.767490059E-1,2.113869935E-1,2.959374164E-1
1.170051518E0,-8.635199815E-2,1.634880006E-1,2.244729996E-1,2.908145826E-1
1.175051363E0,-8.635199815E-2,1.634880006E-1,2.244729996E-1,2.908145826E-1
1.180050140E0,-8.635199815E-2,1.634880006E-1,2.244729996E-1,2.908145826E-1
1.185048911E0,-8.635199815E-2,1.634880006E-1,2.244729996E-1,2.908145826E-1
1.190047680E0,-6.418900192E-2,1.444430053E-1,2.468280047E-1,2.931007910E-1
1.195046449E0,-6.418900192E-2,1.444430053E-1,2.468280047E-1,2.931007910E-1
1.200045055E0,-6.418900192E-2,1.444430053E-1,2.468280047E-1,2.931007910E-1
1.205043670E0,-6.418900192E-2,1.444430053E-1,2.468280047E-1,2.931007910E-1
1.210042401E0,-4.637100175E-2,1.283430010E-1,2.699950039E-1,3.025218965E-1
1.215041132E0,-4.637100175E-2,1.283430010E-1,2.699950039E-1,3.025218965E-1
1.220039492E0,-4.637100175E-2,1.283430010E-1,2.699950039E-1,3.025218965E-1
1.225037839E0,-4.637100175E-2,1.283430010E-1,2.699950039E-1,3.025218965E-1
1.230037532E0,-3.168600053E-2,1.235790029E-1,2.889260054E-1,3.158385809E-1
1.235037223E0,-3.168600053E-2,1.235790029E-1,2.889260054E-1,3.158385809E-1
1.240036281E0,-3.168600053E-2,1.235790029E-1,2.889260054E-1,3.158385809E-1
1.245035358E0,-3.168600053E-2,1.235790029E-1,2.889260054E-1,3.158385809E-1
1.250033974E0,-2.638000064E-2,1.277319938E-1,2.977530062E-1,3.250664846E-1
1.255032589E0,-2.638000064E-2,1.277319938E-1,2.977530062E-1,3.250664846E-1
1.260030887E0,-2.638000064E-2,1.277319938E-1,2.977530062E-1,3.250664846E-1
